itemType,title,authors_flattened,date,publicationTitle,DOI,url,is_stage_1,tags_flattened,ISBN,ISSN,PMCID,PMID,abstractNote,accessDate,archive,archiveID,archiveLocation,bookTitle,callNumber,citationKey,conferenceName,dateAdded,dateModified,edition,eventPlace,extra,format,genre,institution,issue,journalAbbreviation,key,language,libraryCatalog,manuscriptType,numPages,number,numberOfVolumes,originalDate,originalPlace,originalPublisher,pages,partNumber,partTitle,place,proceedingsTitle,publisher,reportNumber,reportType,repository,rights,section,series,seriesNumber,seriesText,seriesTitle,shortTitle,thesisType,university,version,volume,websiteTitle,websiteType
journalArticle,Violent video game engagement is not associated with adolescents' aggressive behaviour: evidence from a registered report,"Przybylski, Andrew K.; Weinstein, Netta",2019-02-13,Royal Society Open Science,10.1098/rsos.171474,https://royalsocietypublishing.org/doi/10.1098/rsos.171474,False,"RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,"In this study, we investigated the extent to which adolescents who spend time playing violent video games exhibit higher levels of aggressive behaviour when compared with those who do not. A large sample of British adolescent participants (n = 1004) aged 14 and 15 years and an equal number of their carers were interviewed. Young people provided reports of their recent gaming experiences. Further, the violent contents of these games were coded using official EU and US ratings, and carers provided evaluations of their adolescents' aggressive behaviours in the past month. Following a preregistered analysis plan, multiple regression analyses tested the hypothesis that recent violent game play is linearly and positively related to carer assessments of aggressive behaviour. Results did not support this prediction, nor did they support the idea that the relationship between these factors follows a nonlinear parabolic function. There was no evidence for a critical tipping point relating violent game engagement to aggressive behaviour. Sensitivity and exploratory analyses indicated these null effects extended across multiple operationalizations of violent game engagement and when the focus was on another behavioural outcome, namely, prosocial behaviour. The discussion presents an interpretation of this pattern of effects in terms of both the ongoing scientific and policy debates around violent video games, and emerging standards for robust evidence-based policy concerning young people's technology use.",2025-05-13T19:53:11Z,,,,,,Przybylski2019ViolentVideoGame,,2025-05-13T19:53:11Z,2026-06-04T00:16:00Z,,,,,,,2,,3P4L2VG7,,royalsocietypublishing.org (Atypon),,,,,,,,171474,,,,,Royal Society,,,,,,,,,,Violent video game engagement is not associated with adolescents' aggressive behaviour,,,20691,6,,
journalArticle,Competition for novelty reduces information sampling in a research game - a registered report,"Tiokhin, Leonid; Derex, Maxime",2019-05,Royal Society Open Science,10.1098/rsos.180934,https://royalsocietypublishing.org/doi/10.1098/rsos.180934,False,"RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,"Incentive structures shape scientists' research practices. One incentive in particular, rewarding priority of publication, is hypothesized to harm scientific reliability by promoting rushed, low-quality research. Here, we develop a laboratory experiment to test whether competition affects information sampling and guessing accuracy in a game that mirrors aspects of scientific investigation. In our experiment, individuals gather data in order to guess true states of the world and face a tradeoff between guessing quickly and increasing accuracy by acquiring more information. To test whether competition affects accuracy, we compare a treatment in which individuals are rewarded for each correct guess to a treatment where individuals face the possibility of being ‘scooped’ by a competitor. In a second set of conditions, we make information acquisition contingent on solving arithmetic problems to test whether competition increases individual effort (i.e. arithmetic-problem solving speed). We find that competition causes individuals to make guesses using less information, thereby reducing their accuracy (H1a and H1b confirmed). We find no evidence that competition increases individual effort (H2, inconclusive evidence). Our experiment provides proof of concept that rewarding priority of publication can incentivize individuals to acquire less information, producing lower-quality research as a consequence.",2025-05-11T10:07:40Z,,,,,,Tiokhin2019CompetitionNoveltyReduces,,2025-05-11T10:07:40Z,2026-06-03T23:39:54Z,,,,,,,5,,HTZBKCUB,,royalsocietypublishing.org (Atypon),,,,,,,,180934,,,,,Royal Society,,,,,,,,,,,,,20678,6,,
journalArticle,Chinese and UK participants' preferences for physical attractiveness and social status in potential mates,"Zhang, Lingshan; Wang, Hongyi; Lee, Anthony J.; DeBruine, Lisa M.; Jones, Benedict C.",2019-11-20,Royal Society Open Science,10.1098/rsos.181243,https://royalsocietypublishing.org/doi/10.1098/rsos.181243,False,"Open Code, Open Data, RSOS, Stage 1 Not Found",,,,,"Men are hypothesized to show stronger preferences for physical attractiveness in potential mates than women are, particularly when assessing the attractiveness of potential mates for short-term relationships. By contrast, women are thought to show stronger preferences for social status in potential mates than men are, particularly when assessing the attractiveness of potential mates for long-term relationships. These mate-preference sex differences are often claimed to be ‘universal' (i.e. stable across cultures). Consequently, we used an established ‘budget-allocation' task to investigate Chinese and UK participants' preferences for physical attractiveness and social status in potential mates. Confirmatory analyses replicated these sex differences in both samples, consistent with the suggestion that they occur in diverse cultures. However, confirmatory analyses also showed that Chinese women had stronger preferences for social status than UK women did, suggesting cultural differences in the magnitude of mate-preference sex differences can also occur.",2025-05-11T10:07:45Z,,,,,,Zhang2019ChineseUKParticipants,,2025-05-11T10:07:45Z,2026-06-03T23:07:52Z,,,,,,,11,,MI8SF4RG,,royalsocietypublishing.org (Atypon),,,,,,,,181243,,,,,Royal Society,,,,,,,,,,,,,20663,6,,
journalArticle,Motivation and preference in isolation: a test of their different influences on responses to self-isolation during the COVID-19 outbreak,"Weinstein, Netta; Nguyen, Thuy-Vy",2020-05-13,Royal Society Open Science,10.1098/rsos.200458,https://royalsocietypublishing.org/doi/10.1098/rsos.200458,False,"RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,"This multi-wave study examined the extent that both preference and motivation for time alone shapes ill-being during self-isolation. Individuals in the USA and the UK are self-isolating in response to the COVID-19 outbreak. Different motivations may drive their self-isolation: some might see value in it (understood as the identified form of autonomous motivation), while others might feel forced into it by authorities or close others (family, friends, neighbourhoods, doctors; the external form of controlled motivation). People who typically prefer company will find themselves spending more time alone, and may experience ill-being uniformly, or as a function of their identified or external motivations for self-isolation. Self-isolation, therefore, offers a unique opportunity to distinguish two constructs coming from disparate literatures. This project examined preference and motivation (identified and external) for solitude, and tested their independent and interacting contributions to ill-being (loneliness, depression and anxiety during the time spent alone) across two weeks. Confirmatory hypotheses regarding preference and motivation were not supported by the data. A statistically significant effect of controlled motivation on change in ill-being was observed one week later, and preference predicted ill-being across two weeks. However, effect sizes for both were below our minimum threshold of interest.",2025-05-13T20:35:25Z,,,,,,Weinstein2020MotivationPreferenceIsolation,,2025-05-13T20:35:25Z,2026-06-03T22:51:54Z,,,,,,,5,,KN6FZ82V,,royalsocietypublishing.org (Atypon),,,,,,,,200458,,,,,Royal Society,,,,,,,,,,Motivation and preference in isolation,,,20656,7,,
journalArticle,The impact of sleep on eyewitness identifications,"Morgan, D.P.; Tamminen, J.; Seale-Carlisle, T. M.; Mickes, L.",2019,Royal Society Open Science,http://dx.doi.org/10.1098/rsos.170501,https://royalsocietypublishing.org/doi/10.1098/rsos.170501,False,"RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,,2025-05-13T20:33:20Z,,,,,,Morgan2019ImpactSleepEyewitness,,2025-05-13T20:33:20Z,2026-06-03T22:50:18Z,,,,,,,12,,CX3UHRPS,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,20649,6,,
journalArticle,Cultural pressure and biased responding in free will attitudes,"Cracco, Emiel; González-García, Carlos; Hussey, Ian; Braem, Senne; Wisniewski, David",2020-08-26,Royal Society Open Science,10.1098/rsos.191824,https://royalsocietypublishing.org/doi/10.1098/rsos.191824,False,"Open Code, Open Data, Open Reviews, RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,"Whether you believe free will exists has profound effects on your behaviour, across different levels of processing, from simple motor action to social cognition. It is therefore important to understand which specific lay theories are held in the general public and why. Past research largely focused on investigating free will beliefs (FWB, ‘Do you think free will exists?’), but largely ignored a second key aspect: free will attitudes (FWA, ‘Do you like/value will?’). Attitudes are often independently predictive of behaviour, relative to beliefs, yet we currently know very little about FWAs in the general public. One key issue is whether such attitudes are subject to biased, socially desirable responding. The vast majority of the general public strongly believes in the existence of free will, which might create cultural pressure to value free will positively as well. In this registered report, we used a very large (N = 1100), open available dataset measuring implicit and explicit attitudes towards free will and determinism to address this issue. Our results indicate that both explicit and implicit attitudes towards free will are more positive than attitudes towards determinism. We also show that people experience cultural pressure to value free will, and to devalue determinism. Yet, we found no strong evidence that this cultural pressure affected either implicit or explicit attitudes in this dataset.",2025-05-13T20:35:36Z,,,,,,Cracco2020CulturalPressureBiased,,2025-05-13T20:35:36Z,2026-06-03T22:09:55Z,,,,,,,8,,ZB7JGQ6H,,royalsocietypublishing.org (Atypon),,,,,,,,191824,,,,,Royal Society,,,,,,,,,,,,,20628,7,,
journalArticle,Is mere exposure enough? The effects of bilingual environments on infant cognitive development | Royal Society Open Science,"D'Souza, Dean; Brady, Daniel; Haensel, Jennifer X.; D'Souza, Hana",2020,Royal Society Open Science,,https://royalsocietypublishing.org/doi/10.1098/rsos.180191,False,"Open Code, Open Data, Open Materials, RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,,2025-05-13T20:33:31Z,,,,,,DSouza2020MereExposureEnough,,2025-05-13T20:33:31Z,2026-06-03T22:03:48Z,,,,,,,2,,DNSA9XR4,,,,,,,,,,,,,,,,,,,,,,,,,,,,20614,7,,
journalArticle,The effect of preregistration on trust in empirical research findings: results of a registered report,"Field, Sarahanne; Wagenmakers, E. -J.; Kiers, Henk A. L.; Hoekstra, Rink; Ernst, Anja F.; van Ravenzwaaij, Don",2020,Royal Society Open Science,http://dx.doi.org/10.1098/rsos.181351,https://royalsocietypublishing.org/doi/10.1098/rsos.181351,False,"RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,,2025-05-13T20:33:37Z,,,,,,Field2020EffectPreregistrationTrust,,2025-05-13T20:33:37Z,2026-06-03T19:55:47Z,,,,,,,,,KC84AYK9,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,20598,7,,
journalArticle,Presence of mismatches between diagnostic PCR assays and coronavirus SARS-CoV-2 genome,"Khan, Kashif Aziz; Cheung, Peter",2020-6-10,Royal Society Open Science,10.1098/rsos.200636,https://royalsocietypublishing.org/doi/10.1098/rsos.200636,False,"RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2; initially named as 2019-nCoV) is responsible for the recent COVID-19 pandemic and polymerase chain reaction (PCR) is the current standard method for its diagnosis from patient samples. This ...,2025-05-11T10:08:50Z,,,world,,,Khan2020PresenceMismatchesDiagnostic,,2025-05-11T10:08:50Z,2026-06-03T19:52:01Z,,,,,,,,,NT9G6A3F,EN,royalsocietypublishing.org,,,,,,,,,,,,,The Royal Society,,,,© 2020 The Authors.,,,,,,,,,20584,,,
journalArticle,Green when seen? No support for an effect of observability on environmental conservation in the laboratory: a registered report,"Lange, Florian; Brick, Cameron; Dewitte, Siegfried",2020-4-1,Royal Society Open Science,10.1098/rsos.190189,https://royalsocietypublishing.org/doi/10.1098/rsos.190189,False,"Open Code, Open Data, Open Materials, RSOS, Stage 1 Linked, Stage 2 Manuscript",,,,,Understanding how humans navigate the tension between selfish and prosocial behaviour is central to addressing social dilemmas and several environmental issues. Many accounts predict that human prosociality would increase in the presence of observing ...,2025-05-11T10:08:48Z,,,world,,,Lange2020GreenWhenSeen,,2025-05-11T10:08:48Z,2026-06-03T19:50:06Z,,,,,,,,,3X7GCMKE,EN,royalsocietypublishing.org,,,,,,,,,,,,,The Royal Society,,,,© 2020 The Authors.,,,,,,Green when seen?,,,20570,,,
